'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Cluster
152272,150216,24508,23708,160,9,5610188,29144,334640,0,139780,299928,5610188,40,76172,23700,27792,7192,293700,510,"-15,21615574","11,759201186","-2,647463987",1
152272,150216,24628,24588,160,15,5609652,29240,334640,0,140764,300020,5609652,144,76608,23708,27996,7188,293336,510,"-15,12690199","11,807171763","-2,661821344",1
152272,150216,24628,24500,160,35,5610232,29336,334640,0,140624,300116,5610232,176,76608,23708,27996,7196,293336,510,"-15,01881777","11,91630387","-2,651733311",1
152272,150216,24628,24580,160,29,5610032,29432,334640,0,140704,300212,5610032,20,76792,23708,27948,7196,295484,1020,"-15,1554508","11,763813684","-2,416923439",1
152272,150216,24628,24500,160,29,5609896,29528,334640,0,140624,300308,5609896,44,76624,23708,27812,7192,297620,1020,"-15,11495619","11,776471635","-2,43846408",1
152272,150216,24628,24592,160,30,5609648,29632,334640,0,140720,300412,5609648,24,76840,23708,27760,7196,295528,1530,"-15,33298212","11,602047715","-2,192353448",1
152272,150216,24628,24540,160,24,5609812,29728,334640,0,140668,300508,5609812,48,76828,23708,27816,7196,295528,1530,"-15,36319787","11,574661908","-2,177856263",1
152272,150216,24628,24524,160,24,5609688,29824,334640,0,140656,300604,5609688,12,76624,23708,27792,7196,295356,1020,"-15,19172954","11,733596799","-2,410238758",1
152272,150216,24628,24572,160,17,5609380,29920,334640,0,140700,300696,5609380,172,76620,23708,27920,7192,295288,1020,"-15,22977493","11,686302206","-2,410610506",1
152272,150216,24628,24576,160,10,5609436,30020,334636,0,140700,300792,5609436,132,76736,23708,27800,7192,297204,1530,"-15,38764726","11,525588638","-2,16811471",1
152272,150216,24628,23824,160,9,5609824,30116,334640,0,140020,300828,5609824,56,76076,23772,27776,7196,297208,1020,"-15,25312047","11,700571677","-2,1746492",1
152272,150216,24628,24576,160,62,5609152,30212,334640,0,140776,300924,5609152,24,76676,23772,27720,7196,294880,1020,"-15,0022736","11,918490988","-2,290761127",1
152272,150216,24696,24420,160,54,5609324,30308,334640,0,140620,301012,5609324,56,76520,23772,27768,7192,296852,1020,"-15,00272372","11,892622439","-2,29424912",1
152272,150216,24696,24492,160,35,5608864,30404,334632,0,140684,301116,5608864,20,76628,23772,27788,7196,298936,1020,"-15,00843411","11,868665922","-2,229887113",1
152272,150216,24696,24568,160,18,5609256,30500,334640,0,140768,301212,5609256,36,76604,23772,27864,7196,294464,1530,"-15,40388439","11,559374711","-1,97583853",1
152272,150216,24696,23824,160,9,5609576,30596,334640,0,140024,301308,5609576,140,76080,23772,27788,7196,294504,2040,"-15,69706022","11,3125489","-1,720811112",1
152272,150216,24696,23824,160,9,5608956,30700,334640,0,140024,301412,5608956,172,75984,23772,27812,7196,294504,1530,"-15,51192811","11,475707722","-1,946829143",1
152272,150216,25172,25104,160,63,5607780,30796,334644,0,141300,301504,5607780,20,77356,23772,27928,7192,294504,1530,"-15,10916864","11,771252105","-2,094900593",1
152272,150216,25172,25108,160,55,5607348,30900,334636,0,141312,301612,5607348,52,77364,23772,27764,7196,294240,1530,"-15,14504417","11,753631026","-2,054390839",1
152272,150216,25172,25108,160,38,5606988,30996,334648,0,141312,301712,5606988,20,77364,23772,27800,7192,296284,1020,"-14,98537911","11,870980221","-2,269036334",1
