'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
144012,126424,14224,14224,108,9,5621452,29064,334600,0,131152,300072,5621452,8159224,156,0,67408,22840,26160,6968,268820,510,0,2,"-19,41318333","8,186641289","-5,645416178","-0,153737114",1
152272,150216,24508,23708,160,9,5610188,29144,334640,0,139780,299928,5610188,8159224,40,0,76172,23700,27792,7192,293700,510,0,2,"-15,17279642","11,617054687","-2,748497876","-0,133713659",1
152272,150216,24628,24588,160,15,5609652,29240,334640,0,140764,300020,5609652,8159224,144,0,76608,23708,27996,7188,293336,510,0,2,"-15,08371545","11,665081946","-2,762318701","-0,130131582",1
152272,150216,24628,24500,160,35,5610232,29336,334640,0,140624,300116,5610232,8159224,176,0,76608,23708,27996,7196,293336,510,0,2,"-14,97575485","11,774360862","-2,759491386","-0,117187428",1
152272,150216,24628,24580,160,29,5610032,29432,334640,0,140704,300212,5610032,8159224,20,0,76792,23708,27948,7196,295484,1020,0,2,"-15,11029132","11,621961971","-2,546833079","-0,064939147",1
152272,150216,24628,24500,160,29,5609896,29528,334640,0,140624,300308,5609896,8159224,44,0,76624,23708,27812,7192,297620,1020,0,2,"-15,07001942","11,634195372","-2,565712363","-0,064239536",1
152272,150216,24628,24592,160,30,5609648,29632,334640,0,140720,300412,5609648,8159224,24,0,76840,23708,27760,7196,295528,1530,0,2,"-15,28558239","11,460532623","-2,343007363","-0,009572844",1
152272,150216,24628,24540,160,24,5609812,29728,334640,0,140668,300508,5609812,8159224,48,0,76828,23708,27816,7196,295528,1530,0,2,"-15,31571915","11,433277848","-2,328743275","-0,013385491",1
152272,150216,24628,24524,160,24,5609688,29824,334640,0,140656,300604,5609688,8159224,12,0,76624,23708,27792,7196,295356,1020,0,2,"-15,14648102","11,591776654","-2,539546367","-0,068534143",1
152272,150216,24628,24572,160,17,5609380,29920,334640,0,140700,300696,5609380,8159224,172,0,76620,23708,27920,7192,295288,1020,0,2,"-15,18449569","11,544598759","-2,536945143","-0,073146371",1
152272,150216,24628,24576,160,10,5609436,30020,334636,0,140700,300792,5609436,8159224,132,0,76736,23708,27800,7192,297204,1530,0,2,"-15,34020801","11,384098975","-2,316836902","-0,021714084",1
152272,150216,24628,23824,160,9,5609824,30116,334640,0,140020,300828,5609824,8159224,56,0,76076,23772,27776,7196,297208,1020,0,2,"-15,20704873","11,561560383","-2,320312298","-0,079720278",1
152272,150216,24628,24576,160,62,5609152,30212,334640,0,140776,300924,5609152,8159224,24,0,76676,23772,27720,7196,294880,1020,0,2,"-14,95677156","11,778888546","-2,434837357","-0,047248112",1
152272,150216,24696,24420,160,54,5609324,30308,334640,0,140620,301012,5609324,8159224,56,0,76520,23772,27768,7192,296852,1020,0,2,"-14,9573365","11,75278422","-2,4358371","-0,051574009",1
152272,150216,24696,24492,160,35,5608864,30404,334632,0,140684,301116,5608864,8159224,20,0,76628,23772,27788,7196,298936,1020,0,2,"-14,96298815","11,729026206","-2,377443592","-0,062206902",1
152272,150216,24696,24568,160,18,5609256,30500,334640,0,140768,301212,5609256,8159224,36,0,76604,23772,27864,7196,294464,1530,0,2,"-15,35556374","11,420798269","-2,141217982","-0,020348672",1
152272,150216,24696,23824,160,9,5609576,30596,334640,0,140024,301308,5609576,8159224,140,0,76080,23772,27788,7196,294504,2040,0,2,"-15,64623594","11,174693675","-1,906028869","0,0284157856",1
152272,150216,24696,23824,160,9,5608956,30700,334640,0,140024,301412,5608956,8159224,172,0,75984,23772,27812,7196,294504,1530,0,2,"-15,46336496","11,33752252","-2,11120361","-0,026570341",1
152272,150216,25172,25104,160,63,5607780,30796,334644,0,141300,301504,5607780,8159224,20,0,77356,23772,27928,7192,294504,1530,0,2,"-15,06163864","11,63184345","-2,257175233","0,0081707721",1
152272,150216,25172,25108,160,55,5607348,30900,334636,0,141312,301612,5607348,8159224,52,0,77364,23772,27764,7196,294240,1530,0,2,"-15,09733766","11,614528534","-2,220645893","0,003079474",1
152272,150216,25172,25108,160,38,5606988,30996,334648,0,141312,301712,5606988,8159224,20,0,77364,23772,27800,7192,296284,1020,0,2,"-14,93997401","11,731314844","-2,412608922","-0,061689296",1
