Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,83,"-14,95073164","11,573246456","-2,276845703","-0,03907541"
2,6,"-1,761395769","13,044537167","22,579405944","0,0219930262"
3,8,"-1,684058942","3,321354388","9,8468774161","0,0332874697"
4,2,"6,1887454779","14,978733805","57,278649704","0,012922006"
5,2108,"-1,064656357","-1,125821489","0,2467533165","-0,049166997"
6,1025,"-2,066713518","-0,618416632","-0,039499472","-0,014733733"
7,1471,"2,4580652089","0,6063486429","-0,267142262","-0,028844895"
8,22,"0,5521725955","-0,101901288","-0,139200905","3,7023915072"
9,1,"2,7814257737","0,7403888148","-0,230782124","19,894892407"
10,268,"7,4126280246","3,814297398","-0,832712426","-0,008113015"
11,1,"-2,07641839","-0,935351383","-0,073194252","64,822886577"
