Cluster,Conteggio,Principale1,Principale2,Principale3
1,82,"-14,94273121","11,752812271","-2,072287626"
2,6,"-1,843028383","12,758344461","25,221127618"
3,2,"5,8200778565","12,188459162","47,483136061"
4,8,"-1,712886754","3,1726713347","10,953555713"
5,18,"-2,484422607","-0,041999545","1,6349577538"
6,855,"-1,200212868","-1,315625008","0,4073823054"
7,1069,"-1,252065444","-1,086082022","0,0869393999"
8,210,"0,2089450595","-0,661559375","-0,009592847"
9,982,"-2,080115716","-0,6019077","-0,079859358"
10,598,"1,7799377923","0,229778497","-0,120360852"
11,48,"2,2289647739","-0,02396148","-1,611283274"
12,819,"2,9374901842","0,8843011054","-0,313494977"
13,36,"3,2705525582","1,5618525092","0,9773435172"
14,250,"7,3620395298","3,7492036426","-0,827997937"
15,11,"10,102951175","6,597393362","2,1498227764"
