Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199"
2,6,"-1,843028383","12,758344461","25,221127618","0,0378529331"
3,2,"5,8200778565","12,188459162","47,483136061","0,0124117967"
4,8,"-1,712886754","3,1726713347","10,953555713","0,042242503"
5,3124,"-1,406009459","-0,963330419","0,1252686528","-0,03801227"
6,1480,"2,4510990014","0,6040619691","-0,246646099","-0,028706165"
7,22,"0,5501666789","-0,100169813","-0,150901138","3,7019840415"
8,1,"2,7830688981","0,7469579995","-0,205304009","19,892801238"
9,268,"7,426761529","3,8350026076","-0,696327031","-0,00813064"
10,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125"
