Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199","-0,244509469"
2,8,"0,0727481767","12,615873136","30,786629729","0,031492649","-1,427707851"
3,8,"-1,712886754","3,1726713347","10,953555713","0,042242503","-0,210310768"
4,1690,"-1,566319254","-1,052528235","0,2500570261","-0,009619564","0,7516824784"
5,1353,"-1,252901301","-0,874320309","-0,004732299","-0,068472891","-0,596202758"
6,427,"2,0942447335","0,5360369569","-0,450944199","-0,08372068","-1,625290249"
7,1147,"2,3630508476","0,5454512026","-0,174674778","-0,001190018","-0,067266763"
8,14,"0,6472204876","0,0083009422","-0,187997479","6,1594099901","-0,369069482"
9,264,"7,458499576","3,855996127","-0,698841644","-0,008693905","1,314639871"
10,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485"
