Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199","-0,244509469","0,6699136847"
2,6,"-1,843028383","12,758344461","25,221127618","0,0378529331","-0,668005438","1,1933056719"
3,2,"5,8200778565","12,188459162","47,483136061","0,0124117967","-3,70681509","-0,894384493"
4,8,"-1,712886754","3,1726713347","10,953555713","0,042242503","-0,210310768","-2,432040425"
5,834,"-1,640991335","-0,792924445","-0,074711235","-0,060745771","-0,477899819","-0,83015125"
6,540,"-0,675397247","-0,979974007","0,0893586374","-0,073945278","-0,812361603","0,0984022081"
7,12,"0,564908687","0,0441670959","-0,255026303","6,6842758699","-0,686346261","-0,008774266"
8,408,"2,2763714782","0,5764753836","-0,454203701","-0,082847139","-1,628619128","-0,191506794"
9,908,"2,4620073943","0,6159786948","-0,212767347","-0,024894042","-0,310600163","0,4895243414"
10,137,"7,603482957","3,9002113836","-0,890969888","0,0378854229","0,9288738377","0,2946376538"
11,127,"7,3021001807","3,8082993542","-0,491585192","-0,058940896","1,7307811826","-2,470563073"
12,360,"-2,198605431","-0,772575603","0,137496523","-0,000767247","0,9762033165","-0,606251804"
13,1215,"-1,392909011","-1,117939345","0,2608854485","-0,016395236","0,5802577338","0,2981874369"
14,354,"0,8972045778","-0,212496376","0,1406937294","0,0768365233","1,1946193556","1,0258880408"
15,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485","-1,702053559"
