Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,374,"-7,927193838","2,9673817347","-0,647185621","0,3690610346"
2,35,"-6,33422298","3,8195861698","2,7297940082","1,5249320811"
3,232,"-4,108630805","1,1022731112","-0,267415894","0,0225367891"
4,101,"-3,593962689","4,3792876344","-0,642561215","-0,543011578"
5,4459,"-0,295327765","-1,040435257","0,2837585205","-0,823598349"
6,745,"0,2197920508","0,1614862813","0,3679280171","-1,238647861"
7,1537,"-0,188909271","-0,791745372","0,9272572034","-0,235215972"
8,160,"0,2221869175","0,6050665291","4,297845167","1,35197804"
9,26,"0,6740120784","3,6921347156","12,492395482","4,6075991463"
10,7,"2,6654397572","9,8504256575","27,632499226","9,0035231716"
11,4136,"0,0002461537","-0,660322257","-0,205910625","0,172834801"
12,4051,"0,3202069515","-0,339419374","-0,466706367","1,1603178591"
13,1035,"1,0702027578","1,8746756602","-0,122596665","-0,76353485"
14,849,"1,7178119595","3,3349886447","-0,027062068","-1,063296167"
15,1758,"1,1434270759","1,6308369279","-0,57160632","0,3944962202"
