timeStamp,elapsed,label,threadName,bytes,grpThreads,allThreads,Latency,Principale1,Principale2,Principale3,Principale4,Cluster
"1,706899e+12",4,GET Request 98KB,Group 1 1-1,100651,1,1,2,"-10,48301421","3,3359569632","0,0731693446","-0,068184226",1
"1,706899e+12",3,GET Request 98KB,Group 1 1-1,100650,1,1,2,"-10,48592848","3,3287270528","0,0720119323","-0,065295983",1
"1,706899e+12",2,GET Request 20KB,Group 1 1-1,20782,1,1,2,"-10,49465942","3,3076861962","0,0728361667","-0,056775149",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-1,20782,1,1,1,"-10,49679831","3,2152522055","-0,488433131","-0,275610363",1
"1,706899e+12",3,GET Request 139KB,Group 1 1-1,143081,1,1,1,"-10,48193952","3,2509879982","-0,489349333","-0,289557139",1
"1,706899e+12",3,GET Request 139KB,Group 1 1-1,143081,1,1,1,"-10,48189808","3,2510309252","-0,489415349","-0,28940448",1
"1,706899e+12",13,GET Request 0.99MB,Group 1 1-1,1042453,1,1,2,"-10,387573","3,5645299004","0,0592267676","-0,158304804",1
"1,706899e+12",11,GET Request 0.99MB,Group 1 1-1,1042453,1,1,1,"-10,39266932","3,4648213789","-0,503131081","-0,374411141",1
"1,706899e+12",49,GET Request 5.07MB,Group 1 1-1,5319985,1,1,1,"-9,968783306","4,480914834","-0,567856502","-0,77987933",1
"1,706899e+12",10,GET Request 0.98MB,Group 1 1-1,1028918,1,1,0,"-10,39575072","3,3700916511","-1,064133437","-0,592132507",1
"1,706899e+12",3,GET Request 137KB,Group 1 1-1,140592,1,1,2,"-10,48264206","3,3360250031","0,070419576","-0,066722348",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-1,20782,1,1,1,"-10,49646318","3,215599353","-0,488967002","-0,274375812",1
"1,706899e+12",10,GET Request 0.98MB,Group 1 1-1,1028918,1,1,1,"-10,3963999","3,4554265509","-0,504222495","-0,369944504",1
"1,706899e+12",2,GET Request 20KB,Group 1 1-1,20782,1,1,2,"-10,49419817","3,3081639905","0,0721013765","-0,055075983",1
"1,706899e+12",0,GET Request 20KB,Group 1 1-1,20782,1,1,0,"-10,49852189","3,1232484165","-1,050364028","-0,492915662",1
"1,706899e+12",3,GET Request 137KB,Group 1 1-1,140592,1,1,2,"-10,48243306","3,3362415035","0,070086624","-0,065952414",1
"1,706899e+12",2,GET Request 139KB,Group 1 1-1,143081,1,1,1,"-10,48439428","3,2442341887","-0,49123869","-0,284976437",1
"1,706899e+12",12,GET Request 0.99MB,Group 1 1-1,1042453,1,1,1,"-10,38929478","3,4725279775","-0,502706999","-0,375603465",1
"1,706899e+12",3,GET Request 139KB,Group 1 1-1,143081,1,1,2,"-10,48212927","3,3367988262","0,0698296889","-0,065676609",1
"1,706899e+12",3,GET Request 139KB,Group 1 1-1,143081,1,1,1,"-10,48131432","3,2516356336","-0,490345318","-0,287253972",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-1,20782,1,1,1,"-10,49609022","3,2159856944","-0,489561149","-0,273001876",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-1,100650,1,1,1,"-10,4872773","3,2371114714","-0,490515981","-0,281220709",1
"1,706899e+12",3,GET Request 98KB,Group 1 1-2,100650,2,2,2,"-9,7690143","3,0057386763","0,1479121083","-0,131830636",1
"1,706899e+12",53,GET Request 5.07MB,Group 1 1-1,5319985,2,2,2,"-9,24109575","4,2719376779","0,0729574999","-0,63664153",1
"1,706899e+12",3,GET Request 137KB,Group 1 1-2,140592,2,2,1,"-9,765248957","2,9275253532","-0,413319949","-0,356072234",1
"1,706899e+12",15,GET Request 1.3MB,Group 1 1-1,1448664,2,2,1,"-9,634499813","3,2410106419","-0,432702956","-0,481093265",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-2,140592,2,2,1,"-9,768120814","2,9203394756","-0,414544838","-0,353028083",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-1,20782,2,2,1,"-9,779787735","2,8923636805","-0,412686515","-0,341789916",1
"1,706899e+12",11,GET Request 0.98MB,Group 1 1-2,1028918,2,2,2,"-9,6775153","3,2246976583","0,1332153501","-0,218264539",1
"1,706899e+12",15,GET Request 0.99MB,Group 1 1-1,1042453,2,2,1,"-9,66391818","3,170938591","-0,422888184","-0,451834747",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-2,100650,2,2,1,"-9,770864008","2,9136042402","-0,413817869","-0,349600551",1
"1,706899e+12",10,GET Request 0.98MB,Group 1 1-1,1028918,2,2,1,"-9,679599235","3,1323205924","-0,428141491","-0,436897311",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-2,100650,2,2,1,"-9,770781128","2,9136900939","-0,413949901","-0,349295232",1
"1,706899e+12",14,GET Request 1.3MB,Group 1 1-1,1448664,2,2,2,"-9,637898338","3,3192865786","0,1257879185","-0,255409772",1
"1,706899e+12",14,GET Request 1.3MB,Group 1 1-2,1448664,2,2,1,"-9,637056364","3,2341513818","-0,434430143","-0,476887574",1
"1,706899e+12",0,GET Request 20KB,Group 1 1-1,20782,2,2,0,"-9,781638344","2,8002283114","-0,974415057","-0,559563151",1
"1,706899e+12",10,GET Request 0.99MB,Group 1 1-2,1042453,2,2,1,"-9,678378361","3,1349046859","-0,428851891","-0,436985685",1
"1,706899e+12",10,GET Request 0.99MB,Group 1 1-1,1042453,2,2,1,"-9,678364848","3,1349186839","-0,428873418","-0,436935905",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-2,140592,2,2,1,"-9,767623533","2,9208545976","-0,415337033","-0,351196169",1
"1,706899e+12",10,GET Request 0.98MB,Group 1 1-1,1028918,2,2,1,"-9,679266813","3,1326649401","-0,428671057","-0,435672717",1
"1,706899e+12",9,GET Request 0.98MB,Group 1 1-2,1028918,2,2,1,"-9,682155787","3,125461332","-0,429868678","-0,432691622",1
"1,706899e+12",9,GET Request 0.98MB,Group 1 1-1,1028918,2,2,1,"-9,682140472","3,1254771962","-0,429893075","-0,432635204",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-2,140592,2,2,1,"-9,767457773","2,9210263048","-0,415601098","-0,350585531",1
"1,706899e+12",12,GET Request 1.3MB,Group 1 1-1,1448664,2,2,1,"-9,642619903","3,2199662649","-0,437166947","-0,470135536",1
"1,706899e+12",11,GET Request 0.98MB,Group 1 1-3,1028918,3,3,2,"-8,960809223","2,9014937151","0,2094470421","-0,285565808",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-2,1448664,3,3,1,"-8,923541953","2,9034302775","-0,358913865","-0,542322827",1
"1,706899e+12",46,GET Request 5.07MB,Group 1 1-1,5319985,3,3,1,"-8,544045277","3,8128886567","-0,418974498","-0,905565131",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-3,1448664,3,3,1,"-8,923430245","2,9035459934","-0,359091823","-0,54191131",1
"1,706899e+12",1,GET Request 137KB,Group 1 1-2,140592,3,3,0,"-9,053378855","2,5048825811","-0,89986086","-0,638520742",1
"1,706899e+12",1,GET Request 98KB,Group 1 1-1,100650,3,3,1,"-9,057046002","2,5831976221","-0,338785233","-0,413917406",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-3,20782,3,3,1,"-9,062766352","2,5694863545","-0,336957121","-0,407929646",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-2,1448664,3,3,2,"-8,924068622","2,9888920917","0,2008018978","-0,319683484",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-1,1448664,3,3,1,"-8,923278898","2,9037027697","-0,359332926","-0,541353771",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-3,20782,3,3,1,"-9,062641131","2,5696160682","-0,337156605","-0,407468349",1
"1,706899e+12",3,GET Request 139KB,Group 1 1-1,143082,3,3,1,"-9,047796688","2,6053371029","-0,33804987","-0,421468294",1
"1,706899e+12",46,GET Request 5.07MB,Group 1 1-2,5319985,3,3,1,"-8,543688532","3,8132582007","-0,419542812","-0,904250932",1
"1,706899e+12",2,GET Request 139KB,Group 1 1-3,143081,3,3,1,"-9,050654203","2,5981659833","-0,339297695","-0,418370974",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-2,1448664,3,3,1,"-8,923046473","2,9039435331","-0,359703191","-0,54049755",1
"1,706899e+12",10,GET Request 0.99MB,Group 1 1-1,1042453,3,3,1,"-8,961482199","2,8118976462","-0,352923013","-0,503586712",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-3,1448664,3,3,2,"-8,923707372","2,9892663017","0,200226408","-0,318352691",1
"1,706899e+12",0,GET Request 20KB,Group 1 1-2,20782,3,3,0,"-9,064562909","2,4774069767","-0,898771771","-0,625503759",1
"1,706899e+12",9,GET Request 0.99MB,Group 1 1-1,1042453,3,3,1,"-8,964312616","2,8047546954","-0,354213917","-0,500389903",1
"1,706899e+12",4,GET Request 137KB,Group 1 1-1,140593,3,3,2,"-9,04542287","2,6977718198","0,2226181524","-0,200924313",1
"1,706899e+12",84,GET Request 5.07MB,Group 1 1-3,5319985,3,3,2,"-8,431786554","4,1751997771","0,1814646753","-0,785139612",1
"1,706899e+12",77,GET Request 5.07MB,Group 1 1-2,5319985,3,3,0,"-8,450916391","3,9538919521","-0,946413343","-1,209404605",1
"1,706899e+12",10,GET Request 0.98MB,Group 1 1-3,1028918,3,3,2,"-8,962895519","2,8951215809","0,206970714","-0,279627764",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-2,100650,3,3,1,"-9,053360659","2,5912261717","-0,338856273","-0,413964783",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-1,100650,3,3,2,"-9,054118852","2,6764481557","0,2212283206","-0,192178343",1
"1,706899e+12",46,GET Request 5.07MB,Group 1 1-4,5319985,4,4,1,"-7,827116684","3,4899152112","-0,343097284","-0,972046684",1
"1,706899e+12",2,GET Request 20KB,Group 1 1-2,20782,4,4,2,"-8,343771842","2,3388713109","0,3003056375","-0,2558448",1
"1,706899e+12",19,GET Request 1.3MB,Group 1 1-3,1448664,4,4,6,"-8,192639869","3,0502344654","2,5238860459","0,4838275816",2
"1,706899e+12",1,GET Request 139KB,Group 1 1-1,143081,4,4,0,"-8,336257278","2,1823516758","-0,824064059","-0,705134689",1
"1,706899e+12",45,GET Request 5.07MB,Group 1 1-4,5319985,4,4,2,"-7,83068097","3,5680194404","0,2156576565","-0,74697383",1
"1,706899e+12",12,GET Request 0.99MB,Group 1 1-3,1042453,4,4,2,"-8,239652768","2,5884302196","0,285623475","-0,354682084",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-4,100650,4,4,1,"-8,33695367","2,2677124082","-0,262148114","-0,482367856",1
"1,706899e+12",83,GET Request 5.07MB,Group 1 1-2,5319985,4,4,1,"-7,717486924","3,7592846844","-0,303146694","-1,072261743",1
"1,706899e+12",75,GET Request 5.07MB,Group 1 1-1,5319985,4,4,0,"-7,740343203","3,615913114","-0,872011448","-1,272051245",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-3,100650,4,4,1,"-8,336859079","2,2678103934","-0,262298804","-0,482019394",1
"1,706899e+12",9,GET Request 0.99MB,Group 1 1-2,1042453,4,4,1,"-8,247567801","2,4815908787","-0,278043935","-0,567548468",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-1,20782,4,4,1,"-8,345605334","2,2467536726","-0,261450172","-0,473554979",1
"1,706899e+12",10,GET Request 0.98MB,Group 1 1-4,1028918,4,4,2,"-8,246310158","2,5717925893","0,2833947153","-0,347373737",1
"1,706899e+12",9,GET Request 0.98MB,Group 1 1-3,1028918,4,4,1,"-8,248398598","2,4794108572","-0,27795495","-0,566023104",1
"1,706899e+12",3,GET Request 137KB,Group 1 1-2,140592,4,4,1,"-8,330817015","2,2821738394","-0,262481139","-0,48691802",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-1,20782,4,4,1,"-8,345438673","2,246926313","-0,261715672","-0,472941021",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-4,100650,4,4,1,"-8,336619447","2,2680586225","-0,26268055","-0,481136624",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-3,140592,4,4,1,"-8,333617703","2,275061684","-0,263819403","-0,483611694",1
"1,706899e+12",3,GET Request 137KB,Group 1 1-2,140592,4,4,2,"-8,331423862","2,3675525994","0,2973623513","-0,264574041",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-1,140592,4,4,1,"-8,333589776","2,2750906129","-0,263863892","-0,483508814",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-4,100650,4,4,1,"-8,336453686","2,2682303297","-0,262944615","-0,480525985",1
"1,706899e+12",2,GET Request 139KB,Group 1 1-3,143081,5,5,0,"-7,616440612","1,8665809052","-0,746987789","-0,774600657",1
"1,706899e+12",2,GET Request 139KB,Group 1 1-2,143081,5,5,0,"-7,616429802","1,8665921036","-0,74700501","-0,774560832",1
"1,706899e+12",52,GET Request 5.07MB,Group 1 1-5,5319985,5,5,1,"-7,092427237","3,2106057478","-0,2607146","-1,054841757",1
"1,706899e+12",1,GET Request 98KB,Group 1 1-1,100650,5,5,1,"-7,623232959","1,9372050047","-0,186960483","-0,54704313",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-4,140592,5,5,1,"-7,617323323","1,9514312714","-0,186931853","-0,552429602",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-5,1448664,5,5,1,"-7,489435225","2,2577418808","-0,20755697","-0,674366659",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-2,100650,5,5,2,"-7,620858943","2,0298825584","0,3739342447","-0,327341739",1
"1,706899e+12",16,GET Request 0.99MB,Group 1 1-1,1042453,5,5,3,"-7,511647204","2,37978248","0,9259308735","-0,210272787",1
"1,706899e+12",56,GET Request 5.07MB,Group 1 1-3,5319985,5,5,1,"-7,08037046","3,2399390354","-0,256722053","-1,064920951",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-4,100650,5,5,1,"-7,620023275","1,9447408291","-0,18627377","-0,548842773",1
"1,706899e+12",4,GET Request 98KB,Group 1 1-1,100651,5,5,2,"-7,614724179","2,0446594919","0,3757611476","-0,331989801",1
"1,706899e+12",28,GET Request 0.99MB,Group 1 1-2,1042453,5,5,1,"-7,474439749","2,2968419169","-0,181497179","-0,685848791",1
"1,706899e+12",75,GET Request 5.07MB,Group 1 1-5,5319985,5,5,1,"-7,024031366","3,3783081635","-0,236274957","-1,116225324",1
"1,706899e+12",74,GET Request 5.07MB,Group 1 1-3,5319985,5,5,2,"-7,027735287","3,4562677483","0,3227024297","-0,891666864",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-4,1448664,5,5,2,"-7,489902436","2,3432652857","0,352064074","-0,451508283",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-3,100650,5,5,2,"-7,620453551","2,030302495","0,3732884331","-0,325848331",1
"1,706899e+12",52,GET Request 5.07MB,Group 1 1-5,5319985,5,5,1,"-7,091802933","3,21125245","-0,26170915","-1,052541908",1
"1,706899e+12",12,GET Request 0.98MB,Group 1 1-2,1028918,5,5,1,"-7,522507598","2,1783543234","-0,198955599","-0,640359416",1
"1,706899e+12",13,GET Request 1.3MB,Group 1 1-1,1448664,5,5,1,"-7,488966772","2,2582271409","-0,208303242","-0,672640942",1
"1,706899e+12",44,GET Request 5.07MB,Group 1 1-4,5319985,5,5,1,"-7,115349841","3,1531728529","-0,270596945","-1,030296067",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-5,20782,5,5,1,"-7,628270448","1,9242010969","-0,186220204","-0,538539805",1
"1,706899e+12",9,GET Request 0.99MB,Group 1 1-3,1042453,5,5,1,"-7,530191474","2,1590812297","-0,202879984","-0,632380635",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-2,140592,5,5,1,"-7,616551276","1,9522310169","-0,188161765","-0,549585489",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-1,100650,5,5,1,"-7,619445816","1,9453390052","-0,187193694","-0,546715495",1
"1,706899e+12",17,GET Request 0.99MB,Group 1 1-4,1042453,6,6,1,"-6,790419555","1,8934585587","-0,116994132","-0,723699924",1
"1,706899e+12",55,GET Request 5.07MB,Group 1 1-6,5319984,6,6,1,"-6,366604778","2,9094781184","-0,181606153","-1,12943022",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-3,20782,6,6,1,"-6,911982375","1,6005641518","-0,109322608","-0,607380944",1
"1,706899e+12",2,GET Request 98KB,Group 1 1-2,100650,6,6,1,"-6,903198282","1,6216600668","-0,110231515","-0,615705975",1
"1,706899e+12",45,GET Request 5.07MB,Group 1 1-5,5319984,6,6,1,"-6,39602152","2,8368961192","-0,192742806","-1,101560693",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-1,140591,6,6,1,"-6,900274086","1,6285827009","-0,111246922","-0,618466382",1
"1,706899e+12",2,GET Request 137KB,Group 1 1-6,140591,6,6,1,"-6,90021643","1,6286424252","-0,111338771","-0,618253986",1
"1,706899e+12",1,GET Request 20KB,Group 1 1-4,20781,6,6,1,"-6,911867136","1,6006834274","-0,109506281","-0,606956082",1
