r,b,swpd,free,buff,cache,si,bi,bo,in,cs,us,sy,id,Principale1,Principale2,Principale3,Principale4,Cluster
0,0,385732,65108,20832,269124,0,0,0,157,585,0,1,99,"-1,117568095","-6,187609773","0,0373365339","0,1236705967",1
0,0,385732,65108,20832,269124,0,0,0,174,617,0,2,98,"-1,087171583","-6,097370288","0,037708682","0,1216867355",1
0,0,385732,65108,20832,269124,0,0,0,96,238,0,1,99,"-1,33185325","-6,526102902","0,0214546083","0,1123478583",1
0,0,385732,65108,20832,269124,0,0,0,92,235,0,0,100,"-1,342801559","-6,580216348","0,0221762954","0,1146815864",1
0,0,385732,65108,20832,269124,0,0,0,110,277,0,1,99,"-1,306377358","-6,480973706","0,0230285296","0,1130812342",1
1,0,385732,65108,20832,269124,0,0,0,104,237,1,1,98,"-1,324950351","-6,37587505","0,0044781887","0,1448269417",1
2,0,385732,64884,20832,269124,0,0,0,275,385,0,7,93,"-1,097403717","-5,726590413","-0,012129083","0,1669891497",1
0,0,385732,64884,20832,269136,0,0,0,1808,1729,1,61,38,"0,3299989193","-0,730945561","0,00011756","-0,083204094",1
0,0,385732,64436,20832,269180,0,0,0,1685,1737,0,59,41,"0,2990758886","-0,972351276","0,0064466657","-0,0656286",1
1,0,385732,64212,20832,269220,0,0,0,1815,1758,0,67,33,"0,429058968","-0,334548393","-0,018095051","-0,054769972",1
0,0,385732,64212,20832,269260,0,0,0,1691,1737,0,61,39,"0,3038715574","-0,868464805","0,0045651492","-0,070716428",1
3,0,385732,64212,20840,269332,0,0,12,1654,1620,0,60,40,"0,3270910361","-0,720895666","-0,046669112","0,0398825561",1
0,0,385732,63764,20840,269348,0,0,0,1753,1746,0,64,36,"0,3192926755","-0,651426776","0,0005355251","-0,08213841",1
4,0,385732,63764,20840,269396,0,0,0,1807,1677,0,65,35,"0,4529522057","-0,175328954","-0,067437139","0,058027708",1
1,0,385732,63764,20840,269436,0,0,0,1872,1827,0,65,35,"0,4375839236","-0,313449937","-0,015131554","-0,052124838",1
4,0,385732,63764,20840,269480,0,0,0,1986,1730,0,69,31,"0,5531913907","0,2354107208","-0,07304669","0,0383299234",1
8,0,385732,63764,20848,269552,0,0,12,1889,1668,1,64,35,"0,569052101","0,3196592944","-0,133368735","0,1977887614",1
3,0,385732,63316,20848,269568,0,0,0,1946,1829,0,66,34,"0,5120886004","0,0293821552","-0,049410971","0,014368173",1
1,0,385732,63316,20848,269612,0,0,0,1833,1806,0,62,38,"0,3661217029","-0,507302411","-0,013163702","-0,044222914",1
4,0,385732,63316,20848,269656,0,0,0,1922,1800,0,63,37,"0,5046797644","-0,053561236","-0,063433359","0,0588040736",1
1,0,385732,63316,20848,269704,0,0,0,2021,1844,1,70,29,"0,4604113971","0,1268410405","-0,023991312","-0,078218547",1
4,0,385732,63316,20856,269776,0,0,16,1969,1780,0,67,33,"0,5243605085","0,1720491363","-0,069587174","0,0441430608",1
2,0,385732,63316,20856,269792,0,0,0,1954,1742,0,68,32,"0,4430862454","-0,045011474","-0,040058637","-0,031805256",1
0,0,385732,63316,20856,269836,0,0,0,1892,1859,3,64,33,"0,290605144","-0,312324246","-0,001670799","-0,100592407",1
4,0,385732,63316,20856,269880,0,0,0,1844,1788,0,66,34,"0,5097175398","0,0021320203","-0,064000837","0,0577807767",1
1,0,385732,63316,20856,269924,0,0,0,2170,1775,0,67,33,"0,458583498","0,0400100344","-0,028469964","-0,081719262",1
2,0,385732,63316,20864,269996,0,0,12,2212,1743,0,73,27,"0,5284460747","0,4531248641","-0,051948013","-0,063140784",1
3,0,385732,63316,20864,270040,0,0,0,1801,1627,0,60,40,"0,3196742811","-0,563902595","-0,050864611","0,0293721793",1
0,0,385732,63316,20864,270076,0,0,0,1929,1662,1,66,33,"0,2672773998","-0,409660828","-0,0119822","-0,108091089",1
0,0,385732,63316,20864,270100,0,0,0,2123,1819,0,75,25,"0,5053484875","0,3026012448","-0,015356895","-0,130778999",1
3,0,385732,63316,20864,270144,0,0,0,2302,1791,0,77,23,"0,6570291636","0,8757196617","-0,070163271","-0,037724151",1
6,0,385732,63316,20872,270192,0,0,12,2290,1765,1,74,25,"0,6884361853","1,0611074988","-0,117149279","0,0752296647",1
2,0,385732,63316,20872,270232,0,0,0,1933,1763,1,70,29,"0,439259755","0,0809084309","-0,041026213","-0,037560658",1
1,0,385732,63316,20872,270276,0,0,0,2009,1728,0,65,35,"0,3860343022","-0,253681345","-0,024582427","-0,06715416",1
2,0,385732,63092,20872,270320,0,0,0,2279,1768,0,76,24,"0,5796717094","0,6814094396","-0,054561279","-0,07249592",1
1,0,385732,63092,20872,270392,0,0,0,2517,1859,1,79,20,"0,6337072392","1,0613884654","-0,044857442","-0,134385245",1
2,0,385732,63092,20880,270408,0,0,12,1890,1684,0,60,40,"0,3115225635","-0,532525466","-0,035787149","-0,013419813",1
4,0,385732,63092,20880,270452,0,0,0,1871,1769,0,64,36,"0,4781246862","-0,080569099","-0,064427448","0,0592365935",1
1,0,385732,63092,20880,270524,0,0,0,1931,1799,0,68,32,"0,4257584757","-0,128897365","-0,02111388","-0,064702413",1
0,0,385732,63092,20880,270560,0,0,0,1928,1725,0,66,34,"0,3268724566","-0,394287659","-0,007755538","-0,100894936",1
3,0,385732,63092,20880,270584,0,0,0,2077,1806,1,72,27,"0,5370747626","0,4629698118","-0,060309477","-0,013522253",1
3,0,385732,63092,20888,270656,0,0,1552,2123,1793,0,73,27,"-0,633242186","0,931221591","-0,132191393","-0,170154768",1
1,0,385732,63092,20888,270672,0,0,0,1844,1885,0,61,39,"0,4013152226","-0,480849431","-0,008860468","-0,038905565",1
3,0,385732,63092,20888,270716,0,0,0,1867,1745,1,66,33,"0,4111951158","-0,08095268","-0,0526706","0,0126305315",1
2,0,385732,63092,20888,270760,0,0,0,1915,1726,2,68,30,"0,355372903","-0,025205127","-0,042203823","-0,037816944",1
2,0,385732,63092,20888,270804,0,0,0,2103,1837,1,70,29,"0,5066940514","0,3100010757","-0,042449918","-0,046962909",1
3,0,385732,63092,20896,270876,0,0,12,2027,1792,2,67,31,"0,4375071111","0,2015296819","-0,057459008","-0,004806779",1
2,0,385732,63092,20896,270908,0,0,0,2312,1782,2,73,25,"0,5087637331","0,6517409438","-0,054856263","-0,075961734",1
2,0,385732,63092,20896,270936,0,0,0,2046,1760,2,68,30,"0,4022653704","0,1315170693","-0,044335032","-0,046027951",1
1,0,385732,63092,20896,270980,0,0,0,1997,1753,1,67,32,"0,3746929677","-0,113640349","-0,025796605","-0,073579853",1
2,0,385732,63092,20896,271024,0,0,0,2128,1916,3,66,31,"0,4605017674","0,2776481854","-0,038453361","-0,044914656",1
1,0,385732,63092,20904,271096,0,0,12,2256,1853,2,73,25,"0,4928994659","0,5483172999","-0,034592914","-0,106934605",1
1,0,385732,63092,20904,271108,0,0,0,2233,1776,2,74,24,"0,4614165116","0,5082752491","-0,038050076","-0,109697983",1
1,0,385732,63092,20904,271152,0,0,0,1891,1715,2,64,34,"0,2754136634","-0,357324119","-0,023488249","-0,064959432",1
1,0,385732,63092,20904,271196,0,0,0,2125,1706,2,72,26,"0,3835142354","0,2493685951","-0,036909877","-0,10035976",1
2,0,385732,63092,20904,271240,0,0,0,1864,1741,2,59,39,"0,2826627862","-0,494666088","-0,033106238","-0,013433646",1
2,0,385732,63092,20912,271312,0,0,12,1955,1741,3,66,31,"0,3178220381","-0,031581891","-0,042793476","-0,040898105",1
1,0,385732,63092,20912,271328,0,0,0,2102,1822,1,75,25,"0,5065197615","0,4005991421","-0,031064913","-0,094401741",1
8,0,385732,63092,20912,271372,0,0,0,1963,1754,1,72,27,"0,6846054249","0,8440295476","-0,137194434","0,180148051",1
7,0,385732,62868,20912,271416,0,0,0,2207,1824,1,78,21,"0,7713178148","1,3235521228","-0,13004101","0,1142205914",1
2,0,385732,62868,20912,271460,0,0,0,2273,1843,2,73,24,"0,5269766508","0,6894430792","-0,051124018","-0,071263322",1
2,0,385732,62868,20920,271532,0,0,16,2035,1763,2,67,31,"0,3722311575","0,0807743275","-0,043997459","-0,044442055",1
1,0,385732,62868,20920,271544,0,0,0,2153,1800,4,71,25,"0,3590615218","0,3775827407","-0,034697217","-0,104626358",1
2,0,385732,62868,20920,271588,0,0,0,2219,1854,0,74,26,"0,5985259137","0,5947897027","-0,047039177","-0,059191081",1
0,0,385732,62868,20920,271632,0,0,0,2010,1736,2,69,29,"0,3046157021","-0,089867903","-0,014365563","-0,121242346",1
4,0,385732,62868,20920,271676,0,0,0,2306,1815,2,79,19,"0,6474881736","1,1745038842","-0,088753508","-0,012076904",1
1,0,385732,62868,20928,271744,0,0,12,2186,1887,2,68,29,"0,448029381","0,2946995517","-0,027535747","-0,090227423",1
0,0,385732,62868,20928,271760,0,0,1128,1981,1708,1,70,29,"-0,55705302","0,1768187193","-0,065596493","-0,2306017",1
4,0,385732,62868,20928,271804,0,0,0,1985,1761,3,61,35,"0,3695617162","0,0149940371","-0,06991998","0,0434855854",1
0,0,385732,62868,20928,271848,0,0,0,1841,1745,2,64,34,"0,2367456078","-0,489524535","-0,005123342","-0,097082806",1
4,0,385732,62868,20928,271892,0,0,0,1952,1814,2,70,28,"0,5040630942","0,3923865297","-0,071529345","0,0342648134",1
0,0,385732,62868,20936,271964,0,0,24,2114,1804,3,73,24,"0,3496405207","0,2999553112","-0,019235277","-0,141080724",1
3,0,385732,62868,20936,271980,0,0,0,1998,1851,1,66,33,"0,49573127","0,133374867","-0,051285473","0,0080956014",1
1,0,385732,62868,20936,272020,0,0,0,2264,1838,3,74,23,"0,4650273186","0,6245965822","-0,037128335","-0,113193993",1
5,0,385732,62868,20936,272064,0,0,0,1980,1841,1,67,32,"0,5728445938","0,3701367708","-0,083069194","0,0816561982",1
1,0,385732,62868,20936,272108,0,0,0,2259,1826,2,77,21,"0,5158233934","0,7174790459","-0,038694991","-0,11555777",1
0,0,385732,62868,20944,272180,0,0,12,1935,1969,3,67,30,"0,3717772913","-0,035639593","-0,000447632","-0,105640633",1
1,0,385732,62868,20944,272196,0,0,0,2413,1924,3,77,20,"0,5710150064","0,9840587024","-0,039410465","-0,126885406",1
1,0,385732,62868,20944,272240,0,0,0,2150,1872,2,76,22,"0,5141296935","0,5981619531","-0,032369157","-0,102964531",1
1,0,385732,62868,20944,272284,0,0,0,1904,1848,2,66,32,"0,3684132228","-0,142585313","-0,018758104","-0,063773444",1
4,0,385732,62868,20944,272328,0,0,0,1941,1857,1,66,33,"0,5298733471","0,1883139007","-0,064808052","0,050293823",1
4,0,385732,62868,20952,272396,0,0,12,2310,1895,3,75,21,"0,6247284078","1,1148460359","-0,083803657","-0,006071564",1
8,0,385732,62868,20952,272412,0,0,0,1915,1818,2,65,33,"0,6161519901","0,5490895637","-0,128537438","0,1979758193",1
4,0,385732,62868,20952,272456,0,0,0,2083,1814,2,71,27,"0,5429467696","0,5686420211","-0,076134989","0,022580187",1
4,0,385732,62868,20952,272500,0,0,0,2042,1802,2,72,26,"0,5367822993","0,5659937956","-0,076289619","0,0229847363",1
1,0,385732,62868,20952,272544,0,0,0,1981,1785,2,66,32,"0,3489776123","-0,117348566","-0,024233565","-0,072302995",1
8,0,385732,62868,20960,272616,0,0,12,2082,1805,1,72,27,"0,725157042","1,0057007112","-0,138801924","0,1727845271",1
2,0,385732,62868,20960,272628,0,0,0,2305,1720,2,76,22,"0,4977058681","0,7366931647","-0,060207089","-0,083997142",1
2,0,385732,62868,20960,272672,0,0,0,2107,1826,2,71,27,"0,4792642593","0,3864136502","-0,04517099","-0,053309699",1
0,0,385732,62196,20960,272716,0,0,0,2296,1797,2,74,23,"0,4050003028","0,5128663581","-0,024387811","-0,152273217",1
1,0,385732,62196,20960,272760,0,0,0,2099,1860,3,68,29,"0,359913516","0,1982294336","-0,027149619","-0,087273192",1
0,0,385732,62196,20968,272828,0,0,12,2176,1876,2,73,24,"0,4108459602","0,4123848573","-0,016599379","-0,138544979",1
2,0,385732,62196,20968,272848,0,0,1116,1937,1815,3,67,30,"-0,539481437","0,3638493662","-0,089952062","-0,148738132",1
