Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,2,"0,2381308369","2,5799121389","2,7370558048","4,9052966334","19,624609413","-5,556885984","-2,608098395"
2,265,"-3,148104311","0,0847890018","0,4459825972","0,3821381114","-0,164867037","0,0100533037","0,0050151271"
3,10,"3,4437948398","1,6208901898","6,9363022158","-3,717748915","-0,539384237","1,120358698","-3,16986614"
4,3,"3,5459937724","5,3856867469","5,3472941899","-0,074377688","2,0964434624","5,0276951789","5,2593323968"
5,1,"5,8937838123","27,120923469","1,6231484398","3,7795131266","1,6150886917","6,1710047138","10,106249998"
6,245,"0,9841077599","-0,256734029","-0,369502942","0,4855081318","0,0227151396","0,4636231895","-0,335704545"
7,36,"-1,074110341","0,3678497609","-0,789455577","-2,88385705","0,4924209747","-0,620355775","0,5816058066"
8,180,"1,169057062","-0,151905107","-0,718623336","-0,875308804","0,3117487931","0,2403765314","0,0059875291"
9,167,"2,210259426","-0,231256654","0,2910499776","0,3772945278","-0,429093358","-0,910241784","0,4869618026"
10,1,"0,8196429742","28,504231018","-10,99207726","1,9606763589","-5,81858709","-6,520302032","-11,38896958"
