Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,3,"-1,646623342","11,115011257","0,3016002017","3,3843350769","-2,63070931","-1,607759583","-5,614021251"
2,1,"-3,963582604","21,695997642","4,1107176372","8,2002566348","-15,81563258","6,5324861295","2,9846130877"
3,119,"-2,689945334","-0,415922034","-1,831748021","1,0237569354","0,2452685545","0,2425304057","-0,139692784"
4,81,"2,8039897513","-0,141185588","-1,215715712","0,6893962588","0,0787335003","-0,102717378","0,3279481408"
5,179,"3,6150093426","-0,150159918","-0,084441946","-0,247570455","-0,197095864","0,5071684078","-0,206740935"
6,15,"1,1686934159","1,2832526687","4,1124711164","3,7086624397","4,3364784212","1,6131057896","0,0591698001"
7,225,"-0,034899163","0,123394257","0,8084517348","-0,334710412","-0,181044973","-0,610359339","0,0430557573"
8,105,"-0,748465621","0,0486551851","-0,175498593","0,3885700185","0,0162999082","-0,954464652","0,4196586761"
9,180,"-2,641169758","-0,407852195","0,6335984642","-0,865693184","-0,098857633","0,5480812442","-0,104528719"
10,1,"-2,595503218","38,245895581","-3,794011695","-5,121106778","2,1086068996","2,507844954","5,7769477876"
11,1,"1,7139654388","15,814555776","-8,864489431","-11,88038873","13,085767996","-0,842779163","-0,677311741"
