r,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Cluster
3,95416,72024,12248,266588,111,637,4445,780,471,2119,3,16,80,"-4,238309461","22,274355338","-0,249150799","3,1444405491","-1,649941269","-3,081869411","-8,877868669",1
0,95416,72024,12248,266596,0,0,0,0,177,660,0,1,99,"-3,034671713","0,581100296","-1,318634225","1,7436623415","0,0759493543","-0,926713872","-1,081026007",7
0,95416,72024,12248,266596,0,0,0,0,189,783,0,1,99,"-3,110526493","1,059921314","-1,04063673","2,0172973769","0,0030222472","-1,458648599","-1,509294123",7
0,95416,72024,12248,266596,0,0,0,0,98,226,0,0,99,"-2,783545687","-1,110473902","-2,30033164","0,7772870262","0,3340879603","0,9605560954","0,4232385445",3
0,95416,72024,12252,266596,0,0,4,116,118,258,0,1,99,"-2,807761208","-0,4309469","-2,482283728","0,3453152622","0,7944719508","0,7858947908","0,0199937326",3
0,95416,72024,12252,266596,0,0,0,0,99,225,0,1,99,"-2,771424866","-1,112674996","-2,299643782","0,7749604609","0,3341638709","0,9550175998","0,4324455434",3
1,95416,71800,12268,266836,0,0,244,44,159,269,0,2,98,"-2,731362395","-0,364567414","-2,201888667","0,8559020129","0,1352724679","0,9467539678","-0,092202132",3
1,95416,71800,12268,266840,0,0,0,0,284,452,1,4,95,"-2,739153808","-0,188453785","-1,607662786","1,3942846948","0,3751667924","0,0423235887","-0,315437013",3
0,95416,71800,12268,266840,0,0,0,0,253,447,0,2,98,"-2,850048977","-0,24460545","-1,739605171","1,2273776425","0,1899984495","-0,0095327","-0,333046724",3
0,95416,71800,12268,266844,0,0,0,0,252,434,0,4,96,"-2,805710431","-0,288173887","-1,757492467","1,2030717634","0,1997255184","0,0052434327","-0,260812387",3
1,95416,71800,12268,266848,0,0,0,0,266,454,0,4,96,"-2,756667759","-0,207382346","-1,72551435","1,2582370934","0,1952889833","-0,044499378","-0,349940463",3
0,95416,71800,12276,266848,0,0,0,16,283,472,0,3,97,"-2,840385225","-0,067962362","-1,711753123","1,2134463419","0,2419965333","-0,140344103","-0,448616623",3
0,95416,71800,12276,266852,0,0,0,0,255,406,0,3,97,"-2,801600675","-0,400600207","-1,824028321","1,1360218107","0,2144252608","0,1488205949","-0,178276909",3
