 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 370612  58220  23592 490888  138  733  5207  1632 1007 1493 18 12 67  3  0
 0  0 370612  58220  23600 490880    0    0     0    36  185  455  2  2 95  1  0
 0  0 370612  58220  23600 490888    0    0     0     0  140  300  0  1 99  0  0
 1  0 370612  58220  23600 490888    0    0     0     0  255  268  2  1 97  0  0
 0  0 370612  58220  23600 490892    0    0     0     0 1084  394  1  7 92  0  0
 0  0 370612  58220  23600 490892    0    0     0     0 1442  398  1 11 88  0  0
 0  0 370612  58220  23600 490892    4    0     4     0 1279  460  1  8 91  0  0
 0  0 370612  58220  23600 490896    0    0     0     0 1256  393  2  8 90  0  0
 0  0 370612  58220  23616 490952    0    0     0   120 1100  462  2  6 90  1  0
 0  0 370612  58220  23616 490976    0    0     0     0 1430  467  4  9 87  0  0
 2  0 370612  58220  23616 490980    0    0     0     0 1763  459  2 13 85  0  0
 0  0 370612  58220  23616 490980    0    0     0    40  869  424  1  7 92  0  0
 0  0 370612  58220  23616 490984    0    0     0     0 1391  425  1  8 91  0  0
 0  0 370612  58220  23624 490976    0    0     0    40 1024  429  0  8 92  0  0
 0  0 370612  58220  23624 490988    0    0     0     0  680  354  2  4 94  0  0
 0  0 370612  58220  23624 490988    0    0     0     0  867  380  2  3 95  0  0
 0  0 370612  58220  23624 490992    0    0     0     0 1219  405  1 11 88  0  0
 0  0 370612  58220  23624 490996    0    0     0     0 1254  377  1 10 89  0  0
 0  0 370612  58220  23632 490988    0    0     0    12 1628  424  2  5 93  0  0
 0  0 370612  58220  23648 491012   76    0    84    44 1659  516  3  9 87  1  0
 0  0 370612  58220  23648 491012    0    0     0     0 1711  447  1 14 85  0  0
 0  0 370612  58220  23648 491016    0    0     0   104 1073  437  0 11 89  0  0
 0  0 370612  58220  23648 491016    0    0     0     0 1575  474  2 11 87  0  0
 0  0 370612  58220  23648 491020    0    0     0     0 1340  419  4 10 86  0  0
 0  0 370612  58220  23656 491012    0    0     0    48 1681  531  1 12 87  0  0
 0  0 370612  58220  23656 491028    0    0     0     0 2156  460  3 11 85  0  0
 0  0 370612  58220  23656 491028    0    0     0     0 1622  398  1  7 92  0  0
 0  0 370612  58220  23656 491028    0    0     0     0 1216  396  2 10 88  0  0
 1  0 370612  74648  23580 490824    0    0     0     0 1624  460  0 11 89  0  0
 0  0 370612  74648  23588 490816    0    0     0    12 1054  412  2  7 90  0  0
 0  0 370612  74648  23588 490828    0    0     0     0 1276  459  2  9 89  0  0
 0  0 370612  74648  23588 490828    0    0     0     0 1260  392  1  8 91  0  0
 0  0 370612  74648  23588 490832    0    0     0     0 1820  429  3 10 87  0  0
 0  0 370612  74648  23588 490836    0    0     0     0 1208  456  1 11 88  0  0
 0  0 370612  74648  23596 490828    0    0     0    12 1484  454  1 12 87  0  0
 0  0 370612  74648  23596 490840    0    0     0     0 1160  463  3  9 88  0  0
 0  0 370612  74648  23596 490840    0    0     0     0 1288  433  2  6 92  0  0
 0  0 370612  74648  23596 490844    0    0     0     0 1201  404  1  8 91  0  0
 0  0 370612  74648  23596 490848    0    0     0     0 1318  448  1  9 89  0  0
 0  0 370612  74648  23604 490852    0    0     0    12  834  356  1  7 91  1  0
 0  0 370612  74648  23604 490852    0    0     0     0 1744  449  1  9 90  0  0
 0  0 370612  74648  23604 490852    0    0     0   112  869  426  1  4 95  0  0
 0  0 370612  74648  23604 490856    0    0     0     0  912  433  2  8 90  0  0
 0  0 370612  74648  23604 490860    0    0     0     0 1950  462  2 11 86  0  0
 0  0 370612  74648  23612 490852    0    0     0    24 1170  434  0 12 88  0  0
 0  0 370612  74648  23612 490864    0    0     0     0  974  408  2  5 92  0  0
 0  0 370612  74424  23612 490864    0    0     0     0 1818  444  1 13 86  0  0
 0  0 370612  74424  23612 490868    0    0     0     0 1199  392  1  9 90  0  0
 0  0 370612  74424  23612 490868    0    0     0     0 1730  410  2 13 85  0  0
 0  0 370612  74424  23620 490872    0    0     0    12 1300  439  2  8 90  0  0
 0  0 370612  74424  23620 490872    0    0     0     0 1282  440  2  8 90  0  0
 0  0 370612  74424  23620 490876    0    0     0     0 1342  456  1 10 89  0  0
 0  0 370612  74172  23620 490880    0    0     0     0 1204  422  2  5 92  0  0
 0  0 370612  74172  23620 490880    0    0     0     0 1389  443  1 10 89  0  0
 0  0 370612  74172  23628 490884    0    0     0    12 1142  459  1  7 91  0  0
 0  0 370612  74172  23628 490884    4    0     4     0  947  407  1  5 94  0  0
 0  0 370612  74172  23628 490888    0    0     0     0 1417  421  1 10 89  0  0
 0  0 370612  74172  23628 490888    0    0     0    48 1356  439  1 10 89  0  0
 0  0 370612  74172  23628 490892    0    0     0     0 1340  397  2  7 91  0  0
 0  0 370612  74172  23636 490884    0    0     0    12 1468  394  1  8 91  0  0
 0  0 370612  74172  23636 490896    0    0     0     0  889  397  0  6 94  0  0
 0  0 370612  74172  23636 490896    0    0     0     0 1316  408  1  9 90  0  0
 1  0 370612  74172  23636 490900    0    0     0     0 1505  478  2  6 92  0  0
 0  0 370612  74172  23636 490900    0    0     0     0 1449  423  2 13 85  0  0
 0  0 370612  74172  23644 490904    0    0     0    12 1385  446  2  7 89  2  0
 0  0 370612  74172  23644 490908    0    0     0     0 1263  456  3 11 85  0  0
 1  0 370612  74172  23644 490912    0    0     0     0 1020  396  2  5 92  0  0
 0  0 370612  74172  23644 490912    0    0     0    60  760  420  2  6 92  0  0
 0  0 370612  74172  23644 490916    0    0     0     0 1297  488  2  9 89  0  0
 0  0 370612  74172  23652 490908    0    0     0    20 1418  462  1  9 90  0  0
 1  0 370612  73920  23652 490920    0    0     0     0 1415  421  1 14 85  0  0
