procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 406800  71064  22876 410836   76  175  1586   764  517  923  7  4 88  1  0
 0  0 406800  71064  22876 410836    0    0     0     0  303  701  7  3 90  0  0
 0  0 406800  71064  22876 410836    0    0     0     0  142  289  0  0 100  0  0
 1  0 406800  71064  22876 410836    0    0     0     0  153  211  0  2 98  0  0
 0  0 406800  70616  22876 410844    0    0     0     0 2950  535  1 11 87  0  0
 4  0 406800  69944  22876 410848    0    0     0     0 3362  783  3 21 76  0  0
 0  0 406800  69944  22876 410856    0    0     0     0 3545  800  2 23 75  0  0
 0  0 406800  69944  22876 410860    0    0     0     0 4036  785  1 24 74  0  0
 1  0 406800  69944  22884 410868    0    0     0    12 3405  708  1 19 80  0  0
 0  0 406800  69944  22884 410876    0    0     0     0 3860  747  1 27 72  0  0
 0  0 406800  69944  22884 410884    0    0     0     0 3230  643  1 20 79  0  0
 2  0 406800  69944  22884 410888    0    0     0     0 3889  839  2 28 70  0  0
 2  0 406800  69944  22884 410896    0    0     0     0 3469  764  2 20 78  0  0
 0  0 406800  69944  22892 410892    0    0     0    12 3383  775  2 23 75  0  0
 0  0 406800  69944  22892 410908    0    0     0     8 3453  708  3 27 70  0  0
 0  0 406800  69944  22892 410916    0    0     0     0 3716  812  4 31 66  0  0
 1  0 406800  69944  22892 410920    0    0     0     0 3767  751  2 30 67  0  0
 1  0 406800  69944  22892 410928    0    0     0     0 3129  650  3 24 73  0  0
 0  0 406800  69944  22904 410936    0    0     0    36 4161  771  4 35 61  0  0
 1  0 406800  69496  22904 410944    0    0     0     0 2858  709  4 26 70  0  0
 0  0 406800  69496  22904 410948    0    0     0     0 3135  718  2 28 69  0  0
 1  0 406800  69496  22904 410956    0    0     0     0 3579  798  5 31 64  0  0
 0  0 406800  69496  22904 410960    0    0     0     0 3800  807  6 31 63  0  0
 0  0 406800  69496  22912 410960    0    0     0    12 3505  769  3 23 74  0  0
 2  0 406800  69496  22912 410976    0    0     0     0 3307  840  3 23 74  0  0
 1  0 406800  69496  22912 410984    0    0     0     0 3911  893  4 27 70  0  0
 1  0 406800  69496  22912 410988    0    0     0     0 3428  783  2 22 76  0  0
 0  0 406800  69496  22912 410996    0    0     0     0 3526  912  7 33 60  0  0
 0  0 406800  69496  22920 410996    0    0     0    12 2995  753  3 20 76  0  0
 0  0 406800  69496  22920 411008    0    0     0    28 3209  779  4 30 67  0  0
 2  0 406800  69496  22920 411016    0    0     0     0 4004  850 13 46 41  0  0
 0  0 406800  69496  22928 411020    0    0     0    44 3510  833  3 29 67  1  0
 1  0 406800  69496  22928 411028    0    0     0     0 3455  833  5 22 74  0  0
 1  0 406800  69496  22928 411036    0    0     0     0 3294  783  3 22 75  0  0
