 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 406288  70648  24244 408236    0    0     0     0 2614  522  1 12 87  0  0
 0  0 406288  70648  24244 408240    0    0     0     0 3192  718  1 18 81  0  0
 0  0 406288  70424  24244 408248    0    0     0     0 3723  707  3 18 78  0  0
 0  0 406288  70200  24244 408252    0    0     0     0 3573  730  1 24 75  0  0
 0  0 406288  69976  24252 408260    0    0     0    12 4769  876  6 37 56  0  0
 0  0 406288  69976  24252 408268    0    0     0     0 3786  722  1 26 73  0  0
 0  0 406288  69752  24252 408272    0    0     0     0 3789  690  5 25 70  0  0
 1  0 406288  69752  24252 408280    0    0     0     0 3555  652  2 24 73  0  0
 0  0 406288  69752  24252 408288    0    0     0     0 3405  664  1 26 73  0  0
 0  0 406288  69752  24260 408296    0    0     0    12 3726  759  3 30 66  0  0
 0  0 406288  69752  24260 408300    0    0     0     0 3711  707  2 28 69  0  0
 1  0 406288  69752  24260 408308    0    0     0     0 3278  901  0 32 68  0  0
 2  0 406288  69752  24260 408312    0    0     0     0 2775  645  2 19 78  0  0
 1  0 406288  69752  24260 408320    0    0     0     0 3699  699  1 31 68  0  0
 0  0 406288  69752  24268 408328    0    0     0    12 3635  767  2 29 67  1  0
 0  0 406288  69752  24268 408332    0    0     0     0 4029  762  4 33 64  0  0
 1  0 406288  69752  24268 408340    0    0     0     0 3596  659  2 32 66  0  0
 2  0 406288  69752  24268 408348    0    0     0     0 3075  662  2 22 76  0  0
 0  0 406288  69752  24268 408352    0    0     0     0 3059  636  1 18 81  0  0
 2  0 406288  69752  24276 408364    0    0     0    12 3561  739  3 26 70  0  0
 1  0 406288  69752  24276 408368    0    0     0     0 3103  704  2 20 77  0  0
 1  0 406288  69752  24276 408376    0    0     0     0 3226  694  1 27 72  0  0
 0  0 406288  69752  24276 408380    0    0     0     0 3849  685  1 28 71  0  0
 1  0 406288  69752  24276 408388    0    0     0     0 2915  704  1 24 75  0  0
 1  0 406288  69752  24284 408384    0    0     0    12 2820  623  1 22 77  0  0
 3  0 406288  69752  24284 408400    0    0     0     0 2812  660  3 22 74  0  0
 0  0 406288  69752  24284 408408    0    0     0     0 3081  667  3 25 72  0  0
 0  0 406288  69752  24284 408416    0    0     0     0 2979  606  1 19 80  0  0
 1  0 406288  69752  24284 408420    0    0     0     0 2985  689  0 20 80  0  0
 0  0 406288  69752  24292 408428    0    0     0    12 2559  797  2 25 73  0  0
 1  0 406288  69752  24292 408432    0    0     0   204 3419  717  4 25 71  0  0
 0  0 406288  69752  24292 408440    0    0     0     0 3740  731  2 29 68  0  0
 0  0 406288  69528  24292 408444    0    0     0     0 3728  695  5 33 63  0  0
 0  0 406288  69528  24292 408452    0    0     0     0 3213  806  8 36 56  0  0
 3  0 406288  69528  24300 408452    0    0     0    24 3865  913  6 32 62  0  0
 0  0 406288  69528  24300 408468    0    0     0     0 2952  745  2 25 73  0  0
 1  0 406288  69528  24300 408472    0    0     0     0 2908  687  2 22 76  0  0
 0  0 406288  69528  24300 408480    0    0     0     0 3624  788  2 25 73  0  0
 1  0 406288  69528  24300 408484    0    0     0     0 3552  729  2 26 71  0  0
 0  0 406288  69528  24300 408492    0    0     0     0 3129  751  3 25 72  0  0
 1  0 406288  69528  24308 408496    0    0     0    12 3127  679  3 22 74  0  0
