 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 417172  67544  24408 405852   51  140   913   545 1707  804  9 18 73  1  0
 0  0 417172  67544  24408 405852    0    0     0     0  184  295  1  0 99  0  0
 0  0 417172  67544  24408 405852    0    0     0   800 2277  650  2 15 83  0  0
 2  0 417172  67544  24408 405860    0    0     0     0 3833  722  2 26 71  0  0
 1  0 417172  67544  24420 405852    0    0     0    48 4580  934  3 34 63  0  0
 0  0 417172  67544  24420 405884    0    0     0     0 5704 1015  5 43 52  0  0
 0  0 417172  67544  24420 405888    0    0     0     0 6354 1101  4 44 52  0  0
 2  0 417172  67544  24420 405908    0    0     0     0 5579 1046  3 44 53  0  0
 0  0 417172  67544  24420 405924    0    0     0     0 6304 1163  4 50 46  0  0
 0  0 417172  67544  24428 405916    0    0     0    12 5483 1100  4 46 51  0  0
 2  0 417172  67544  24428 405944    0    0     0     0 5382 1098  4 44 52  0  0
 2  0 417172  67544  24428 405956    0    0     0     0 5346 1096 10 53 36  0  0
 3  0 417172  67544  24428 405968    0    0     0     0 5765 1013  8 56 36  0  0
 1  0 417172  67544  24428 405972    0    0     0     0 5952 1096  6 68 26  0  0
 0  0 417172  67544  24436 405996    0    0     0    24 5535  909  6 50 44  0  0
 1  0 417172  67544  24436 405996    0    0     0     0 4549  972  7 66 27  0  0
 0  0 417172  67544  24436 406020    0    0     0     0 4531 1038  5 73 22  0  0
 3  0 417172  67544  24436 406032    0    0     0     0 5392 1122 10 66 24  0  0
 0  0 417172  67544  24436 406032    0    0     0     0 4763 1010  5 58 37  0  0
 1  0 417172  67544  24444 406048    0    0     0    12 4082 1008  6 64 28  1  0
 6  0 417172  67544  24444 406060    0    0     0     0 4436 1082  8 53 40  0  0
 2  0 417172  67544  24444 406060    0    0     0     0 3982 1063 10 67 23  0  0
 4  0 417172  67544  24444 406080    0    0     0   408 4138 1018  5 58 37  0  0
 1  0 417172  67544  24444 406092    0    0     0     0 4259 1014  6 60 33  0  0
 2  0 417172  67544  24452 406100    0    0     0    32 3974 1041  8 53 39  0  0
 1  0 417172  67544  24452 406100    0    0     0     0 3971  995 11 53 36  0  0
 3  0 417172  67544  24452 406120    0    0     0     0 3722  962  8 57 35  0  0
 1  0 417172  67544  24452 406120    0    0     0     0 4002 1112  7 49 43  0  0
 1  0 417172  67544  24452 406136    0    0     0     0 3596  955  6 56 38  0  0
 0  0 417172  67544  24460 406132    0    0     0    12 3555 1016  7 55 38  0  0
 5  0 417172  67544  24460 406156    0    0     0     0 3390 1063 13 56 31  0  0
 1  0 417172  67544  24460 406168    0    0     0     0 3185  877  6 60 34  0  0
 3  0 417172  67544  24460 406172    0    0     0     0 2979  896 10 56 33  0  0
 1  0 417172  67544  24460 406180    0    0     0     0 2647  808  5 73 22  0  0
 0  0 417172  67096  24468 406188    0    0     0    12 2806  755 11 60 29  0  0
 2  0 417172  67096  24468 406188    0    0     0     0 3575  958 12 55 33  0  0
 1  0 417172  67096  24468 406208    0    0     0     0 2410  828  9 73 19  0  0
 1  0 417172  67096  24468 406216    0    0     0     0 2871  849 11 62 27  0  0
 1  0 417172  67096  24468 406224    0    0     0     0 3000  878  8 60 32  0  0
 1  0 417172  67096  24476 406232    0    0     0    12 2771  914  8 65 26  0  0
 0  0 417172  66872  24476 406240    0    0     0     0 3384  948 11 53 36  0  0
 2  0 417172  66872  24476 406248    0    0     0     0 2966  877 10 57 33  0  0
 5  0 417172  66872  24476 406248    0    0     0     0 3036  927 12 53 35  0  0
 5  0 417172  66872  24476 406260    0    0     0     0 3088  789 10 48 42  0  0
 8  0 417172  66872  24484 406268    0    0     0    12 2903  918  7 54 39  0  0
12  0 417172  66872  24484 406276    0    0     0     0 2548  795  6 66 29  0  0
 2  0 417172  66872  24484 406284    0    0     0     0 2521  860  9 69 22  0  0
 1  0 417172  66872  24484 406292    0    0     0     0 2773  887  8 66 26  0  0
 2  0 417172  66872  24484 406300    0    0     0     0 3041  881  5 58 37  0  0
 0  0 417172  66872  24492 406308    0    0     0    12 3279  953  8 58 34  0  0
 1  0 417172  66872  24492 406316    0    0     0     0 3357  877  8 52 40  0  0
 1  0 417172  66872  24492 406324    0    0     0     0 3400 1117  9 56 35  0  0
 0  0 417172  66648  24492 406332    0    0     0     0 3045  993 12 58 30  0  0
 1  0 417172  66200  24492 406340    0    0     0   260 3067  880  7 58 35  0  0
 1  0 417172  66200  24500 406348    0    0     0    24 2661  784 10 58 32  0  0
 2  0 417172  66200  24500 406348    0    0     0     0 2993  911  6 63 31  0  0
 1  0 417172  66200  24500 406364    0    0     0     0 3419 1009  9 61 30  0  0
 1  0 417172  66200  24500 406372    0    0     0     0 2571  904  7 68 25  0  0
 0  0 417172  66200  24500 406380    0    0     0    20 2894  853  8 62 30  0  0
 1  0 417172  66200  24508 406388    0    0     0    12 3198  993  8 59 33  0  0
 0  0 417172  66200  24508 406392    0    0     0     0 3012  999  9 54 36  0  0
 0  0 417172  66200  24508 406404    0    0     0     0 3244 1006 10 62 27  0  0
 0  0 417172  66200  24508 406404    0    0     0     0 3694 1051  9 46 45  0  0
 1  0 417172  66200  24508 406420    0    0     0     0 3112 1035 14 54 32  0  0
 3  0 417172  66200  24516 406428    0    0     0    16 2383  808  9 72 20  0  0
 2  0 417172  66200  24516 406436    0    0     0     0 2981  911  7 64 29  0  0
 7  0 417172  66200  24516 406444    0    0     0     0 2693  800  6 60 34  0  0
 2  0 417172  66200  24516 406448    0    0     0     0 2861  863  6 63 30  0  0
 0  0 417172  66200  24516 406460    0    0     0     0 2623  950  9 67 24  0  0
 1  0 417172  66200  24524 406452    0    0     0    12 3380 1056 10 51 37  1  0
 1  0 417172  66200  24524 406476    0    0     0     0 3010 1009  8 56 36  0  0
 0  0 417172  66200  24524 406480    0    0     0     0 2076  782 16 64 20  0  0
 0  0 417172  66200  24524 406488    0    0     0     0 3010  993 10 55 36  0  0
 1  0 417172  66200  24524 406496    0    0     0     0 2647  884 13 61 27  0  0
