r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 417428  67944  22352 402512   48  128   833   498 1735  805  9 19 72  0  0
 0  0 417428  67944  22352 402520    0    0     0     0  145  307  2  0 98  0  0
 0  0 417428  67944  22352 402520    0    0     0     0  112  247  0  1 99  0  0
 1  0 417428  67496  22352 402524    0    0     0     0 1177  371  1  6 93  0  0
 0  0 417428  67048  22352 402528    0    0     0     0 4188  781  2 29 69  0  0
 0  0 417428  67048  22352 402540    0    0     0    28 4901  964 10 32 58  0  0
 0  0 417428  67048  22352 402548    0    0     0     0 5081  935  2 36 62  0  0
 1  0 417428  66600  22352 402564    0    0     0     0 5672  930  5 43 52  0  0
 0  0 417428  66600  22360 402572    0    0     0    24 5258 1192  5 43 52  0  0
 0  0 417428  66600  22360 402588    0    0     0     0 5287 1096  4 44 53  0  0
 2  0 417428  66600  22360 402596    0    0     0     0 4809 1036  4 42 53  0  0
 1  0 417428  65256  22360 402612    0    0     0     0 5532 1044  7 60 33  0  0
 0  0 417428  65256  22360 402620    0    0     0     0 5931 1024  6 58 36  0  0
 2  0 417428  65256  22368 402636    0    0     0    12 5729 1188 11 57 31  0  0
 2  0 417428  65256  22368 402648    0    0     0     0 5060 1077  7 47 46  0  0
 7  0 417428  65256  22368 402660    0    0     0     0 4629 1036  5 73 22  0  0
 3  0 417428  64808  22368 402672    0    0     0     0 4456 1063  7 57 35  0  0
 5  0 417428  64360  22368 402684    0    0     0     0 3272  943 10 73 17  0  0
 1  0 417428  64360  22376 402692    0    0     0    12 5040 1095  7 64 28  0  0
 2  0 417428  64360  22376 402712    0    0     0     0 5467 1268  6 57 37  0  0
 8  0 417428  64360  22376 402724    0    0     0     0 5371 1207  6 62 32  0  0
 1  0 417428  63688  22376 402732    0    0     0     0 4879 1092  7 57 36  0  0
 1  0 417428  63016  22376 402744    0    0     0     0 3604  866  9 59 32  0  0
 0  0 417428  63016  22384 402748    0    0     0    12 4291 1185  6 53 41  0  0
 2  0 417428  62344  22384 402760    0    0     0     0 3599  870  7 58 36  0  0
 4  0 417428  62344  22384 402768    0    0     0     0 3282  865  4 65 31  0  0
 5  0 417428  62120  22384 402776    0    0     0     0 3503  820  8 55 37  0  0
 1  0 417428  61896  22384 402784    0    0     0     0 3626  859  4 49 46  0  0
 1  0 417428  61896  22392 402792    0    0     0    12 3359  880  3 58 39  0  0
 1  0 417428  61896  22392 402804    0    0     0     0 3094  957  5 67 28  0  0
 2  0 417428  61896  22392 402812    0    0     0     0 3307 1037 12 57 31  0  0
 2  0 417428  61672  22392 402824    0    0     0     0 3262  867 10 58 32  0  0
 1  0 417428  61448  22392 402828    0    0     0     0 3345  829  9 54 37  0  0
12  0 417428  61448  22400 402828    0    0     0    12 2781  785  8 63 28  0  0
 2  0 417428  61448  22400 402844    0    0     0     0 3432  867  9 51 40  0  0
 2  0 417428  61448  22400 402852    0    0     0     0 2699  872 18 63 18  0  0
 1  0 417428  61448  22400 402860    0    0     0   324 3680  979 10 49 42  0  0
 1  0 417428  61448  22400 402868    0    0     0     0 2605  805 17 63 20  0  0
 0  0 417428  61448  22408 402868    0    0     0    24 3390 1036 12 58 30  0  0
 1  0 417428  61448  22408 402884    0    0     0     0 3229  918  7 55 38  0  0
 1  0 417428  61448  22408 402892    0    0     0     0 2790  859  8 56 35  0  0
 5  0 417428  61448  22408 402900    0    0     0    12 2498  788 11 65 24  0  0
 1  0 417428  61448  22408 402908    0    0     0     0 3159  777  7 53 40  0  0
 1  0 417428  61448  22416 402916    0    0     0    12 3299  943 13 51 36  0  0
 2  0 417428  60552  22416 402920    0    0     0     0 2995  898  7 57 36  0  0
 1  0 417428  60552  22416 402932    0    0     0     0 3524  958 10 52 38  0  0
 3  0 417428  60552  22416 402940    0    0     0     0 3360  976 13 55 33  0  0
 1  0 417428  60552  22416 402948    0    0     0     0 2711  764 10 64 26  0  0
 1  0 417428  60552  22424 402944    0    0     0    12 2198  715 11 67 22  0  0
 1  0 417428  60552  22424 402960    0    0     0     0 3251  961 10 53 37  0  0
 7  0 417428  60552  22424 402968    0    0     0     0 2498  733  7 62 31  0  0
 0  0 417428  60552  22424 402976    0    0     0     0 3036  946 11 58 31  0  0
 3  0 417428  60552  22424 402984    0    0     0     0 3131  923  8 54 38  0  0
15  0 417428  60552  22432 402992    0    0     0    12 2588  852 12 63 25  0  0
 1  0 417428  60552  22432 403000    0    0     0     0 2744  830 10 59 31  0  0
 9  0 417428  60552  22432 403008    0    0     0     0 2519  781  7 61 32  0  0
 4  0 417428  60552  22432 403012    0    0     0     0 2963  916  8 57 35  0  0
 2  0 417428  60552  22432 403024    0    0     0     0 2312  751  8 68 24  0  0
 3  0 417428  60552  22440 403020    0    0     0    12 2980  969  9 56 36  0  0
 4  0 417428  60552  22440 403040    0    0     0     0 3260  997  8 55 37  0  0
 8  0 417428  60552  22440 403048    0    0     0     0 3041  993 10 62 28  0  0
 0  0 417428  60552  22440 403052    0    0     0     0 2857  895  7 59 34  0  0
 2  0 417428  60552  22440 403064    0    0     0     0 2735  833  8 57 35  0  0
 2  0 417428  60552  22448 403072    0    0     0    16 2910  957  9 58 32  0  0
 1  0 417428  60552  22448 403076    0    0     0     0 2284  748  7 68 26  0  0
 4  0 417428  60552  22448 403088    0    0     0     0 2990  937  6 56 37  0  0
 1  0 417428  60552  22448 403096    0    0     0   244 2531  835 11 66 23  0  0
 8  0 417428  60552  22448 403100    0    0     0     0 3176  932 11 51 38  0  0
 2  0 417428  60552  22456 403108    0    0     0    24 2488  784  8 63 28  0  0
 1  0 417428  60552  22456 403112    0    0     0     0 2454  769  8 62 30  0  0
 2  0 417428  60552  22456 403124    0    0     0     0 2516  887 10 63 27  0  0
 0  0 417428  60552  22456 403128    0    0     0     0 2955  948  8 56 36  0  0
 2  0 417428  60552  22456 403140    0    0     0     0 2893  981 14 51 35  0  0
 0  0 417428  60552  22464 403148    0    0     0    12 2417  848  7 65 28  0  0
 1  0 417428  60552  22464 403152    0    0     0     0 2903  882 13 47 40  0  0
