 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 410384  78600  21460 423928    0    0     0     0 1113  305  0  6 94  0  0
 0  0 410384  78600  21460 423932    0    0     0     0 1600  403  0 10 90  0  0
 0  0 410384  78600  21460 423932    0    0     0     0 1792  404  0  8 92  0  0
 0  0 410384  78600  21460 423936    0    0     0     0 1563  370  0  9 91  0  0
 0  0 410384  78600  21460 423936    0    0     0     0 1379  409  0  7 93  0  0
 0  0 410384  78600  21468 423940    0    0     0    12 1512  405  0  7 93  0  0
 0  0 410384  78600  21468 423944    0    0     0     0 1153  391  1  8 91  0  0
 1  1 410384  78600  21468 423948    0    0     0     0 1582  405  1  7 91  0  0
 0  0 410384  78600  21468 423948    0    0     0     0 1177  370  1  4 95  0  0
 0  0 410384  78600  21468 423952    0    0     0     0 1240  423  1  4 95  0  0
 0  0 410384  78600  21476 423944    0    0     0    12 1900  456  0 12 88  0  0
 0  0 410384  78600  21476 423956    0    0     0     0 1494  402  1  8 91  0  0
 0  0 410384  78600  21476 423956    0    0     0     0 1654  479  1  7 92  0  0
 0  0 410384  78600  21476 423960    0    0     0     0 1473  405  0 10 90  0  0
 2  0 410384  78600  21476 423960    0    0     0     0 1343  635  2  9 89  0  0
 0  0 410384  78600  21484 423984    0    0     0    12 1549 1339 21 12 67  0  0
 0  0 410384  78600  21484 423988    0    0     0     0 1496  372  1  8 91  0  0
 0  0 410384  78600  21484 423988    0    0     0     0 1190  424  1  4 95  0  0
 0  0 410384  78600  21484 423992    0    0     0     0 1511  423  1 10 89  0  0
 0  0 410384  78600  21484 423992    0    0     0     0 1348  361  0  8 92  0  0
 1  0 410384  78600  21492 423996    0    0     0    12 1109  409  1  7 91  1  0
 0  0 410384  78600  21492 424000    0    0     0     0 1282  393  2  7 91  0  0
 0  0 410384  78600  21492 424004    0    0     0     0 1035  411  1  5 94  0  0
 0  0 410384  78600  21492 424004    0    0     0     0 1541  401  1  7 91  0  0
 0  0 410384  78600  21492 424008    0    0     0     0 1821  443  2 10 88  0  0
 0  0 410384  78600  21500 424000    0    0     0    12 1375  446  4  8 88  0  0
 0  0 410384  78600  21500 424012    0    0     0     0 1299  386  0  9 91  0  0
 0  0 410384  78600  21500 424012    0    0     0     0  922  362  1  2 97  0  0
 0  0 410384  78600  21500 424016    0    0     0     0 1066  341  1  5 94  0  0
 0  0 410384  78600  21500 424016    0    0     0     0 1038  330  0  1 99  0  0
 0  0 410384  78600  21508 424020    0    0     0    12 2030  511  1 12 87  0  0
 0  0 410384  78600  21508 424020    0    0     0    76 1713  353  1  6 92  0  0
 0  0 410384  78600  21508 424024    0    0     0     0  981  317  1  4 95  0  0
 0  0 410384  78600  21508 424024    0    0     0     0 1294  383  1  5 94  0  0
 0  0 410384  78600  21508 424028    0    0     0     0 1387  391  2  6 92  0  0
 0  0 410384  78600  21516 424020    0    0     0    24 1170  365  0  1 99  0  0
 0  0 410384  78600  21516 424032    0    0     0     0 1427  427  1  7 92  0  0
 0  0 410384  78600  21516 424032    0    0     0     0  921  377  0  5 95  0  0
 0  0 410384  78600  21516 424036    0    0     0     0 1248  382  1  4 95  0  0
