 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 410928  62584  25796 417224    0    0     0     0 1695  573  2 13 85  0  0
 1  0 410928  62584  25796 417228    0    0     0     0 2015  596  1 13 85  0  0
 2  0 410928  62584  25796 417232    0    0     0     0 2556  641  1 18 81  0  0
 0  0 410928  62584  25796 417240    0    0     0     0 2604  626  2 18 80  0  0
 0  0 410928  62584  25808 417240    0    0     0    32 2044  546  0 17 83  0  0
 0  0 410928  62584  25808 417248    0    0     0     0 1607  603  1 15 84  0  0
 1  0 410928  62584  25808 417252    0    0     0     0 2237  635  1 24 75  0  0
 0  0 410928  62584  25808 417256    0    0     0     0 2595  643  1 20 78  0  0
 1  0 410928  62584  25808 417260    0    0     0     0 2174  607  1 19 80  0  0
 0  0 410928  62584  25816 417264    0    0     0    12 2802  660  3 23 73  0  0
 0  0 410928  62584  25816 417272    0    0     0     0 3153  671  2 24 74  0  0
 0  0 410928  62584  25816 417272    0    0     0     0 2402  561  1 18 81  0  0
 1  0 410928  62584  25816 417276    0    0     0     0 2381  635  2 19 78  1  0
 0  0 410928  62584  25816 417284    0    0     0     0 2631  530  0 23 77  0  0
 0  0 410928  62584  25836 417292   20    0    24    56 2227  675  1 14 85  0  0
 0  0 410928  62584  25836 417296    0    0     0     0 1952  610  1 19 80  0  0
 2  0 410928  62584  25836 417300    0    0     0     0 1864  536  2 13 85  0  0
 0  0 410928  62584  25836 417304    0    0     0     0 2138  524  2 20 78  0  0
 3  0 410928  62584  25836 417312    0    0     0     0 2538  563  2 22 76  0  0
 0  0 410928  62584  25844 417308    0    0     0    48 2411  561  1 19 80  0  0
 1  0 410928  62584  25844 417320    0    0     0     0 2404  640  2 20 78  0  0
 0  0 410928  62584  25844 417324    0    0     0     0 1949  555  1 13 86  0  0
 6  0 410928  62584  25844 417328    0    0     0     0 2268  521  2 17 81  0  0
 0  0 410928  62584  25844 417332    0    0     0     0 2571  623  1 19 80  0  0
 1  0 410928  62584  25852 417340    0    0     0    12 2888  622  1 24 75  0  0
 0  0 410928  62584  25852 417340    0    0     0     0 2621  612  2 19 78  0  0
 1  0 410928  62584  25852 417348    0    0     0     0 2319  622  3 14 83  0  0
 0  0 410928  62584  25852 417348    0    0     0     0 2313  606  2 20 77  0  0
 0  0 410928  62584  25852 417356    0    0     0     0 2237  612  3 16 81  0  0
