r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 384372 117848  19780 369288    0    0     0     0 4534  751  2 31 66  0  0
 0  0 384372 117848  19780 369296    0    0     0     0 4375  861  5 27 69  0  0
 0  0 384372 117848  19780 369308    0    0     0     0 4012  817  3 31 65  0  0
 0  0 384372 117848  19788 369316    0    0     0    12 4990  923  4 42 54  0  0
 0  0 384372 117848  19788 369328    0    0     0     0 4427  918  3 33 64  0  0
 0  0 384372 117848  19788 369336    0    0     0     0 3477  916 11 27 63  0  0
 0  0 384372 117848  19788 369348    0    0     0     0 4130  993  1 39 60  0  0
 0  0 384372 117848  19788 369356    0    0     0     0 4675  884  4 51 45  0  0
 0  0 384372 117848  19796 369368    0    0     0    12 3798  885  2 37 60  0  0
 0  0 384372 117848  19796 369380    0    0     0     0 5145  976  7 52 41  0  0
 1  0 384372 117848  19796 369392    0    0     0     0 4792  963  6 59 36  0  0
 1  0 384372 117848  19796 369400    0    0     0     0 4050  872  6 51 44  0  0
 0  0 384372 117848  19796 369412    0    0     0     0 3581  885  5 53 42  0  0
 6  0 384372 117848  19804 369420    0    0     0    48 4186  964  5 49 45  1  0
 1  0 384372 117848  19804 369432    0    0     0     0 4291  991  5 70 25  0  0
 1  0 384372 117848  19804 369436    0    0     0     0 2229  794  7 78 16  0  0
 1  0 384372 117848  19804 369448    0    0     0     0 3160  829  4 70 26  0  0
 1  0 384372 117848  19804 369456    0    0     0     0 3488  868  4 68 28  0  0
 0  0 384372 117848  19812 369464    0    0     0    16 3231  879  5 59 36  0  0
 1  0 384372 117848  19812 369468    0    0     0     0 3120  674 10 49 41  0  0
 4  0 384372 117848  19812 369476    0    0     0     0 2287  757  4 77 20  0  0
 1  0 384372 117848  19812 369484    0    0     0     0 3259  899  7 54 39  0  0
 1  0 384372 117848  19812 369492    0    0     0     0 2919  927  6 60 34  0  0
 1  0 384372 117848  19820 369504    0    0     0    12 3009  774  6 51 43  0  0
 1  0 384372 117848  19820 369516    0    0     0     0 3415  911  6 55 38  0  0
 1  0 384372 117848  19820 369524    0    0     0     0 3146 1007 10 57 33  0  0
 1  0 384372 117848  19820 369528    0    0     0     0 3064  955  6 56 38  0  0
 0  0 384372 117848  19820 369536    0    0     0     0 1789  604 10 75 15  0  0
 1  0 384372 117848  19828 369544    0    0     0   280 1805  695  5 71 24  0  0
 1  0 384372 117848  19828 369552    0    0     0     0 2221  754 10 66 24  0  0
 3  0 384372 117848  19828 369556    0    0     0     0 2702  870 11 58 31  0  0
 3  0 384372 117848  19828 369564    0    0     0     0 2661  734  4 59 36  0  0
 1  0 384372 117848  19828 369572    0    0     0     0 1600  534  8 79 14  0  0
 8  0 384372 117848  19836 369576    0    0     0    24 2538  770  7 60 33  0  0
 1  0 384372 117848  19836 369580    0    0     0     0 2089  672 10 63 28  0  0
 3  0 384372 117848  19836 369592    0    0     0     0 2751  677 10 59 32  0  0
 1  0 384372 117848  19836 369600    0    0     0     0 2196  768  8 69 23  0  0
 3  0 384372 117848  19836 369604    0    0     0     0 1914  664  8 77 15  0  0
