r,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
0,185100,61232,10332,308296,4,34,212,53,1506,394,1,36,64,"-1,47756882","4,4675559739","3,7924958","4,3716212534","20,044082336","-5,518952302","-0,916649109"
0,185100,61232,10332,308308,0,0,0,0,181,668,0,1,99,"-3,187369362","0,957999393","1,8974643638","-0,688294923","-0,163638907","0,2512476506","0,2797746377"
0,185100,61232,10332,308308,0,0,0,0,130,401,1,2,97,"-4,039718329","0,4887377938","0,7969916284","-1,225529496","0,0252471002","-0,157906123","0,1630515139"
1,185100,61232,10332,308308,0,0,0,0,96,229,0,0,100,"-4,621404889","0,1248063413","-0,181822475","-1,276706288","0,0018319516","-0,96959038","0,6992021465"
1,185100,61232,10332,308308,0,0,0,0,296,1194,0,1,99,"-1,199148368","1,9617272304","4,7676773223","0,2400080026","-0,730065682","0,8588200559","0,3976796193"
0,185100,61232,10332,308308,0,0,0,0,90,240,0,0,100,"-4,72661438","0,1463922104","-0,300653817","-1,369759464","0,1627869408","-0,559249582","0,4201697645"
0,185100,61232,10344,308308,0,0,0,36,93,218,0,0,100,"-4,777910083","0,3651317208","-0,508092987","-1,341974022","0,1362293155","-0,599953744","0,3824102696"
0,185100,61232,10344,308308,0,0,0,0,101,254,0,0,100,"-4,660272035","0,1660574557","-0,24266006","-1,332542411","0,1553505022","-0,514407401","0,4137453508"
1,185100,60560,10344,308420,0,0,120,0,198,364,1,2,97,"-3,891863986","1,7101219152","1,389301676","-0,716332348","0,5771320336","0,6318048308","2,3224331841"
0,185100,60112,10344,308432,0,0,0,0,636,411,0,19,81,"-3,155188662","0,2632496601","0,7289137958","-0,333643529","-0,096089838","-0,238101345","0,005432472"
1,185100,60112,10344,308436,0,0,0,0,636,440,0,19,81,"-2,92181076","0,3198760295","1,0528435751","-0,183747359","-0,286722984","-0,57037781","0,2748369423"
1,185100,59664,10344,308436,0,0,0,0,966,437,0,34,66,"-2,175781392","0,179354111","1,1395584798","0,2613610527","-0,364639228","-0,608718242","0,0267096757"
2,185100,59440,10352,308440,0,0,0,640,812,406,0,25,75,"-2,426443263","4,9342549206","-0,332075689","1,0134485981","-1,306511796","-1,324107895","-0,322320658"
0,185100,59440,10352,308444,0,0,0,0,1040,407,0,37,63,"-2,260084708","0,0842332275","0,828734215","0,241587021","-0,193351583","-0,267652428","-0,301083435"
1,185100,59440,10352,308444,0,0,0,0,631,369,0,19,81,"-3,204242162","0,1573994694","0,7091368343","-0,146168529","-0,25956184","-0,672594037","0,2609159845"
1,185100,59440,10352,308448,0,0,0,0,819,386,0,27,73,"-2,719365799","0,1244017874","0,8411900423","0,0776427499","-0,305703511","-0,665369281","0,1330777895"
0,185100,59440,10352,308448,0,0,0,0,651,372,0,20,80,"-3,281680264","0,1548324061","0,555387806","-0,223864996","-0,097064342","-0,280707686","-0,031973917"
0,185100,59440,10364,308452,0,0,0,52,703,376,0,20,79,"-3,18701753","0,5339312163","0,4503121274","-0,107330203","-0,167608257","-0,284502583","-0,110659772"
0,185100,59440,10364,308456,0,0,0,0,1140,500,0,32,68,"-2,038734948","0,2696642583","1,2684557732","0,3697459803","-0,2489644","-0,079432316","-0,288286717"
1,185100,59440,10364,308452,0,0,0,0,799,357,0,21,79,"-3,033574039","0,0950750289","0,6480698946","-0,044230779","-0,261387387","-0,697078674","0,2108318037"
0,185100,59440,10364,308456,0,0,0,0,1318,406,0,43,57,"-1,826591021","0,0080283358","0,8470035239","0,4670754162","-0,220932118","-0,285501382","-0,418641708"
0,185100,59216,10364,308456,0,0,0,0,792,351,0,22,78,"-3,177630581","0,0715922963","0,4571737457","-0,103066469","-0,10027089","-0,312508472","-0,085831334"
0,185100,59216,10376,308460,0,0,0,84,668,379,0,20,80,"-3,220318491","0,7714167021","0,3855317141","-0,02502959","-0,213937187","-0,263345942","-0,148301586"
0,185100,59216,10376,308464,0,0,0,0,806,363,0,21,79,"-3,152911978","0,0918291753","0,5006892337","-0,078896348","-0,103570775","-0,270671813","-0,08126555"
0,185100,59216,10376,308464,0,0,0,0,767,353,0,26,74,"-3,040865818","0,0526428916","0,4744243889","-0,042352966","-0,109598822","-0,2863853","-0,127936816"
